序号,景点名称,地区,评分,评级,地址,评语,价格,销量,省市自治区
22943,鄱阳湖国家湿地公园,江西·上饶·鄱阳,0,4A景区,江西省上饶市鄱阳县鄱阳湖景区,白鹤的天堂，候鸟的故乡,123,256,江西省
22944,婺源鸳鸯湖,江西·上饶·婺源风景区,0.78,4A景区,江西省上饶市婺源县西部赋春镇西1.5公里,表达人们“只羡鸳鸯不羡仙”的美好愿望,47,10,江西省
22945,瑶里,江西·景德镇·浮梁县,0.98,4A景区,江西省景德镇市浮梁县087县道瑶里风景区,比景德镇更老的瓷都,93.5,390,江西省
22946,江湾,江西·上饶·婺源风景区,0.9,5A景区,江西省上饶市婺源县江湾镇,千年古镇江湾，钟灵毓秀，文风炽盛,143,54,江西省
22947,浮梁古县衙,江西·景德镇·浮梁县,0.76,4A景区,江西省景德镇浮梁县浮梁古县衙景区,我国江南保存完整的清代县级衙暑,42.8,494,江西省
22948,石钟山,江西·九江·湖口县,0.74,4A景区,江西省九江市湖口县登山路22号,居高临下，进可攻退可守，号称“江湖锁钥”,64,130,江西省
22949,通天寨景区,江西·赣州·石城县,0,4A景区,江西省赣州市石城县琴江镇大畲村,石怪、洞幽、泉美、茶香、佛盛,45,128,江西省
22950,关西新围景区,江西·赣州·龙南县,0,4A景区,江西省赣州市龙南县关西镇关西村,关西新围位于赣州龙南县，占地总面积7700多平方米。新围依山傍水，绿竹、池塘、农田、蓝天交相辉映。围屋呈长方形，墙高10,50,26,江西省
22996,白云峰漂流景区,江西·宜春·上高县,0,\N,江西省宜春市上高县南港镇大庙林场,人在水中漂，山在画中流,0,0,江西省
22997,南昌考拉大冒险儿童乐园,江西·南昌·红谷滩新区,0,\N,江西省南昌市红谷滩新区世茂商场三楼考拉大冒险儿童主题乐园,挑战精彩，分享快乐,0,0,江西省
22998,庐山滑雪场,江西·九江·庐山风景名胜区,0,\N,江西省九江市濂溪区境内大月山路庐山风景区老园门 女儿城内,开启庐山“冰雪旅游”模式,0,0,江西省
22999,于都红军长征出发地,江西·赣州·于都县,0,3A景区,江西省赣州市于都县渡江大道东段,红军长征的出发地，是红色文化传播的地方,0,0,江西省
23000,七星岭滑雪场,江西·宜春·铜鼓县,0,\N,江西省宜春市铜鼓县排埠镇大围山七星岭滑雪场,江西首家户外滑雪场,0,0,江西省
23002,上饶欢乐风暴水上乐园,江西·上饶,0,\N,江西省上饶市上饶市信州区货场路2号,江西福道兴业旅游发展有限公司的一期项目,0,0,江西省
23003,X-one密室逃脱,江西·赣州·章贡区,0,\N,江西赣州市章贡区红旗大道国际时代商业步行街A区50-51-52号（大润发超市旁）,密室逃脱，是一种逃脱类游戏，一般需要玩游戏者在游戏中寻找线索，一步一步地走出密室。真人密室逃脱将虚拟,0,0,江西省
23004,南昌无尽恐怖恐怖电影实景逃生,江西·南昌·东湖区,0,\N,江西南昌东湖区二七北路328号1927院内2号楼4层（迪卡乐附近）,感受实景逃脱的刺激,0,0,江西省
23005,乐玩陶艺,江西·赣州·章贡区,0,\N,江西省赣州市章贡区万盛购物中心万盛街1-142,快乐陶艺，在快乐中学习陶艺,0,0,江西省
23006,禹港卡丁车馆,江西·南昌·湾里区,0,\N,江西省南昌市湾里区招贤镇招贤村禹港,赛车爱好者、工作高压人群的休闲娱乐好去处,0,0,江西省
23007,南昌万达水乐园,江西·南昌·南昌融创乐园,0,\N,江西省南昌市红谷滩新区红谷滩周边九龙湖南龙蟠街,一个全家老少皆宜的水上游乐园,0,0,江西省
23008,南昌花博园,江西·南昌·青云谱区,0,\N,江西省南昌市青云谱区青云谱镇万科润园旁边269号梅湖花博园,花开豫章城 醉美花博园,0,0,江西省
23009,南昌马戏艺术节,江西·南昌·红谷滩新区,0,\N,江西南昌昌南体育中心,马戏艺术大赛,0,0,江西省
23010,九天大峡谷漂流,江西·宜春·宜丰县,0,\N,江西宜春宜丰县,打破中国漂流落差新纪录的高落差峡谷漂流,0,0,江西省
23011,叶坪革命遗址,江西·赣州·瑞金市,0.7,5A景区,江西省瑞金市叶坪乡叶坪村,中央苏区和苏维埃共和国政治、军事活动中心,30,130,江西省
23012,武宁西海燕码头,江西·九江·武宁县,0,\N,江西省九江市武宁县新城区西海燕码头,穿越码头 为您的未来祈福,75,6,江西省
23013,狮子洞,江西·九江·九江县,0.7,\N,江西省九江市九江县狮子乡狮子山麓,象形景物甚多，步移景换，妙趣随生,52,8,江西省
23014,石门涧,江西·九江·庐山区,0.74,4A景区,江西省九江市庐山区石门涧风景名胜区,听天池万壑松涛，观石门涧悬瀑激流,38,88,江西省
23015,南昌之星摩天轮,江西·南昌·红谷滩新区,0,\N,江西省南昌市红谷滩新区新建县赣江南大道1号,诠释着南昌作为世界动感都会的昂首姿态,48,770,江西省
23016,婺源熹园,江西·上饶·婺源县,0,\N,江西省上饶市婺源县锦屏路18号,曲廊蜿蜒，楼台影映，步移景异，悦目赏心,138,66,江西省
23017,罗汉岩,江西·赣州·瑞金市,0,\N,江西省赣州市瑞金市壬田镇,山水相依、碧潭似镜、悬崖峭壁、峰奇石怪,40,52,江西省
23018,龙宫洞,江西·九江·彭泽县,0.72,4A景区,江西省九江市彭泽县西南乌龙山麓,夏洞外烈日炎炎，洞内却凉风习习,73,300,江西省
23019,庐山西海花千谷,江西·九江·武宁县,0,\N,九江市武宁县永武高速巾口收费站路口往中信度假区200米处,带你进入花的世界,149,72,江西省
23020,江西直升机科技馆,江西·景德镇,0,4A景区,江西省景德镇市高新区直航路1号,虚拟现实手段带你体验直升机的刺激,42,152,江西省
23021,安义古村,江西·南昌·安义县,0.7,3A景区,江西省南昌市安义县石彼镇罗田村,千百年来，古村曾盛极一时，也曾盛极而衰,43,398,江西省
23022,葛仙山,江西·上饶·铅山县,0.7,4A景区,江西省上饶市铅山县杨林乡,葛仙山历史悠久，蜚声遐迩,100,276,江西省
23023,大觉山,江西·抚州·资溪县,0.74,5A景区,江西省抚州市资溪县建设路60号,山峦叠嶂，连绵起伏，沟谷纵横，风光旖旎,25,166,江西省
23024,中国洞都,江西·新余·分宜县,0,\N,江西新余市分宜县东北部洞村乡,超自然溶洞观光、返传统穴居体验,77,78,江西省
23025,孽龙洞,江西·萍乡·上栗县,0,4A景区,江西省萍乡市上栗县,尤以“洞天飞瀑”蔚为壮观,62,154,江西省
23101,藏马山度假区,山东·青岛·黄岛区,0,\N,山东省青岛藏南镇藏马山长阡沟村,跨越四季，全年可享，全民可玩的度假综合体,23,40,山东省
23102,青岛海上嘉年华主题乐园,山东·青岛,0,\N,青岛市西海岸新区漓江西路1160号嘉年华澳乐购喷泉广场南,无敌水手，海王宫殿,45,126,山东省
23103,龟山风景区,山东·枣庄·枣庄市,0,3A景区,市中区孟庄镇周村水库,迷人的自然风光，使您如醉如痴，流连忘返,20,30,山东省
23104,青岛中山公园,山东·青岛·市南区,0.72,\N,山东省青岛市市南区文登路28号,园中有园，景中有景,69.9,30,山东省
23105,富华游乐园,山东·潍坊·奎文区,1,3A景区,山东省潍坊市奎文区东风东街197号,室外陆路冒险，室内人造海浪，让你玩到爽,150,124,山东省
23109,广饶孙子文化旅游度假区,山东·东营·广饶县,0,4A景区,山东省东营市广饶县,既能了解孔孙子文化，也能感受生态之美,110,96,山东省
23110,东平水浒影视城,山东·泰安·东平县,0,\N,山东省泰安市东平县东平湖东岸,多功能水浒大寨,46.9,260,山东省
23111,沂蒙红色影视基地,山东·临沂·沂南县,0,4A景区,山东省临沂市沂南县马牧池乡常山庄村,过去与现在的结合，现实与幻想的交融,39,268,山东省
23112,青岛海泉湾度假区,山东·青岛·即墨市,0,\N,山东青岛即墨市滨海大道188号港中旅海泉湾度假区,何必东奔西走，要度假就来海泉湾,130,148,山东省
23113,青岛滨海学院世界动物标本艺术馆,山东·青岛·黄岛区,0,4A景区,山东省青岛市黄岛区嘉陵江西路425号,真实还原了动物生存的环境，值得一看,72,8,山东省
23114,观唐温泉,山东·临沂·河东区,0,4A景区,山东省临沂市河东区滨河东路与汶泗路交汇处,千年文化古镇，江北著名温泉,128,72,山东省
23115,中粮君顶酒庄,山东·烟台·蓬莱市,0,4A景区,山东烟台市蓬莱君顶大道1号中粮君顶酒庄,引导以葡萄酒为主题的高品位生活方式,48,4,山东省
23221,青岛蓝树谷青少年世博园,山东·青岛·平度市,0,\N,青岛平度市云山镇蓝树谷路8号（309国道旁）,青少年综合体验项目,72,4,山东省
23222,孔子六艺城,山东·济宁·曲阜,0.72,4A景区,山东省济宁曲阜市春秋路15号,建筑格局独特，内容丰富多彩，内涵深厚,50,126,山东省
23223,招远架旗山游乐园,山东·烟台·招远市,0,\N,山东省烟台招远市温泉路龙王庙下村北,大型现代化游乐场所,94,44,山东省
23224,济南植物园,山东·济南·章丘市,0.72,4A景区,山东省济南章丘市埠村街道办事处,艺术外貌与科学内涵、文化内涵有机结合,28,56,山东省
23225,黄金河度假村动物园,山东·烟台·蓬莱市,0,\N,山东省烟台市蓬莱市大柳行镇时金河桥路北,享受世外桃源的乐趣,65,26,山东省
23226,红高粱影视基地,山东·潍坊·高密市,0,\N,山东省潍坊市高密市东北乡,火红的高粱正在那等着您呢,18,10,山东省
23227,海阳连理岛,山东·烟台·海阳市,0,\N,山东省烟台市海阳市旅游度假区阳瑞路1号,成浪漫神话里的世外桃源,68,6,山东省
23228,宝相寺,山东·济宁·汶上县,0,4A景区,山东省济宁市汶上县宝相寺路城西北隅,非云非雾起层空，异彩奇辉迥不同,39,174,山东省
23229,商河温泉,山东·济南·商河县,0,4A景区,山东省济南市商河县商西路8号,温泉文化与风景园林融为一体,137,40,山东省
23230,太平山索道,山东·青岛·青岛太平山,0,\N,山东省青岛市市南区太平山景区,青岛“红瓦绿树、碧海蓝天”的独特魅力,69.9,116,山东省
23231,汤泊温泉度假区,山东·威海·威海市,0,4A景区,山东省威海市文登市经技开发区止马岭,汤泊温泉给你五星级的尊贵享受,125,34,山东省
23232,枣庄抱犊崮,山东·枣庄·山亭区,0.96,3A景区,山东省枣庄市山亭区北庄镇抱犊崮国家森林公园,集自然景观、人文景观为一体的名山,49,70,山东省
23233,龙门崮,山东·日照·东港区,0.72,4A景区,山东省日照市三庄镇上卜落崮村,龙门崮植被茂盛，品种繁多，苍松叠翠,34.9,64,山东省
23234,青山秀水旅游度假区,山东·潍坊·昌邑市,0,\N,潍坊市昌邑市石埠镇永大路2号（309国道与永大路交叉口北500米）,青城山外幽意浓，绿岛水中映叶蓉,50,14,山东省
23235,五四广场,山东·青岛·青岛海滨,0.76,\N,山东省青岛市市南区澳门路9号,新世纪青岛的标志性景观之一,60,66,山东省
23251,大茅山,江西·上饶·德兴市,0,3A景区,江西省上饶市德兴市境内,欲作悠悠天外想，白云深处梵王宫,70,36,江西省
23252,白鹿洞书院,江西·九江·星子县,0.8,\N,江西省九江市星子县,想要做神仙，就来安吉中南百草园,30,124,江西省
23253,木鱼山漂流,江西·赣州·瑞金市,0,\N,江西省瑞金市锦江名城乐水园19#-201,带给你专业化的赛道漂流体验,128,6,江西省
23254,铜源峡,江西·南昌·湾里区,0,\N,江西省南昌市新建区望城镇幸福村萧峰大道（幸福湖边）,可以登山探幽，寻访民俗风情,37.8,298,江西省
23255,观音桥,江西·九江·星子县,0.72,\N,江西省九江市星子县白鹿镇观音桥风景区,观音桥造型美观，气派雄伟，结构精巧,27,82,江西省
23256,武功山君澜温泉,江西·萍乡·芦溪县,0,\N,江西省萍乡市芦溪县武功山风景名胜区万龙山乡东坑村,在国家森林公园中泡温泉,103,30,江西省
23257,烟水亭,江西·九江·浔阳区,0.74,\N,江西省九江市浔阳区,游亭观联，雅趣盎然,18,22,江西省
23258,屏山旅游区,江西·赣州·于都县,0,\N,江西省赣州市于都县靖石乡,集放牧、观光、狩猎等于一体休闲旅游好去处,35,82,江西省
23259,安源锦绣城,江西·萍乡·安源区,0,\N,江西省萍乡市安源区萍安南大道,清一色的仿明清古建筑,45,32,江西省
23260,南昌新中原大剧院,江西·南昌·西湖区,0,\N,江西省南昌市西湖区站前西路173号,打造城市新贵娱乐新天地,100,64,江西省
23261,赣江源漂流,江西·赣州·石城县,0,\N,江西省赣州市石城县,与浪共舞，尽显漂流本色,128,6,江西省
23262,温汤矿疗温泉,江西·宜春,0,\N,江西省宜春市明月山温泉风景名胜区温泉大道59号,属国内外罕见富硒温泉,108,66,江西省
23264,南昌新方向童乐小镇,江西·南昌·红谷滩新区,0,\N,江西南昌市红谷滩区学府大道269号新华文化广场（摩天轮往西行约500米）,专为孩子创建的社会角色扮演中心,45,8,江西省
23265,五龙源四季花谷景区,江西·上饶·婺源县,0,4A景区,江西省上饶市婺源县段莘乡五龙源景区,婺源一处浓缩精华的旅游景观带,168,18,江西省
23476,赣州章贡区万象城卡丁车,江西·赣州·章贡区,0,\N,赣州章贡区万象城6楼,全国大型室内娱乐商业配套的新典范,88,94,江西省
23477,傣家度假村,江西·新余·仙女湖,0,\N,江西省新余市渝水区仙女湖景区,具有浓郁傣家风俗民情的度假胜地,103,59,江西省
23478,圣井山景区圣境精灵儿童乐园,江西·鹰潭·贵溪,0,\N,江西省鹰潭市贵溪市上清镇沙湾村圣井山景区内,专属儿童的户外连续性健康游戏体验乐园,98,51,江西省
23479,瑞金革命遗址,江西·赣州·瑞金市,0.7,\N,江西省赣州瑞金市叶坪乡老村,瑞金被称为中国的“红色故都”,150,97,江西省
23480,汉仙温泉,江西·赣州·会昌县,0,\N,江西省赣州市会昌县济广高速公路会昌县筠门岭,温泉+酒店+山林+步道+产业,168,2,江西省
23481,修河温泉含室内恒温水乐园,江西·九江·修水县,0,\N,江西省九江市修水县宁镇芦塘何家店温泉小镇,恒温室内水乐园,162,48,江西省
23482,明月假日温泉,江西·宜春·袁州区,0,\N,江西省宜春市袁州区温汤镇泉都北路23号（明月山假日度假酒店）,和家人朋友享受欢乐时光的幽静所在。,128,2,江西省
23483,飞岭漂流,江西·赣州,0,\N,江西省赣州市南康区横式镇增坑村,飞岭漂流独有的近200米速降跳跃飞台,128,45,江西省
23484,明清古民居博览园（明清文化园）,江西·南昌·湾里区,0,\N,江西省南昌市湾里区梅岭镇入口处明清文化园,赣鄱文化的杰出代表、江西人的精神家园,70,2,江西省
23485,宜春甜甜湾自然探索中心,江西·宜春·袁州区,0,\N,江西省宜春市袁州区黄坡路润达国际购物中心6楼甜甜湾自然探索中心,在丰富多彩的体验学习中学会关爱照顾,78,37,江西省
23486,婺源晓起林海漂流,江西·上饶·晓起,0,\N,江西省上饶市婺源县江湾镇晓起村下晓起林海漂流,可以欣赏到“铁靴桥”旧址、“印月潭”等,150,30,江西省
23487,安义斐然生态园,江西·南昌·安义县,0,\N,江西省南昌市安义县长均乡观察村,休闲旅游观光圣地,25,90,江西省
23488,庐山东林寺,江西·九江·庐山区,0.76,\N,江西省九江市庐山区东林寺,我国佛教净土宗发源地,228,98,江西省
23489,黔龙大观园,江西·九江·庐山区,0,\N,江西省九江市庐山区海会镇三叠泉旅游集散中心二楼,返歌自然，赞美生命的鉴定,30,64,江西省
23490,鄱阳湖候鸟保护区,江西·九江·永修县,0,\N,江西省九江市永修县吴城镇,鄱阳湖候鸟保护区位于赣江修水、西河交汇处的鄱阳湖滨，永修县吴城镇附近。春夏洪水时这一带连成一片，冬季枯水时各港、汊、湾便,259,4,江西省
23565,吉安井冈山大型红色主题舞台,江西·吉安·井冈山市,0,\N,江西省井冈山市茨坪镇红军北路16号（井冈山大会堂左侧）,全国首部以“不忘初心，牢记使命”为主题的井冈山革命历史题材小剧场话剧《我的红军哥》，是井冈山本源文化传媒有限公司精心打造,99,95,江西省
23641,八大山人纪念馆,江西·南昌·南昌县,0.72,\N,南昌市南郊十五华里,青云谱道院内，远离喧嚣独揽湖山田园之美,0,0,江西省
23642,明骏九曲旅游度假村,江西·赣州·定南县,0,4A景区,江西省赣州江西赣州定南县天九镇的九曲河畔,山清水秀，空气清新，巧夺天工，和谐自然,0,0,江西省
23643,樟树林冰雪嘉年华,江西·南昌·东湖区,0,\N,江西省南昌市东湖区佘山路66号樟树林文化生活公园9座,衣食住行育乐一体化的新型商业共融圈,0,0,江西省
23644,湖光山舍田园农庄,江西·南昌·南昌县,0,\N,江西省南昌市南昌县蒋巷镇西大道18号,一座乡村田园风情十分浓厚的天然农庄,0,0,江西省
23645,瑶里漂流,江西·景德镇·瑶里,0,4A景区,江西省景德镇市浮梁县瑶里镇,欣赏瑶里美丽风光，体验漂流清凉感受,0,0,江西省
23646,毛泽东化险地景区,江西·宜春·铜鼓县,0,4A景区,江西省宜春市铜鼓县排埠镇华联村毛泽东化险地,一代天骄，谁主沉浮,0,0,江西省
23647,天泉水都,江西·南昌·东湖区,0,\N,江西省南昌市东湖区子固路45号,随心所欲，尽展身躯，放松身心,0,0,江西省
23648,国鸿生态园,江西·南昌·南昌县,0,\N,江西省南昌市南昌县蒋巷镇西大道621号,春赏花，夏采摘，秋美食，冬疗身,0,0,江西省
23649,桃花源,江西·九江·星子县,0.72,\N,江西省九江市星子县,两岸青山合抱、雾绕云遮,0,0,江西省
23650,南昌宝丽大剧院,江西·南昌·东湖区,0,\N,江西省南昌市东湖区福州路161号,歌舞技艺高超，华美的舞台设计,0,0,江西省
23651,南昌琴岛之夜,江西·南昌·东湖区,0,\N,江西省南昌东湖区八一大道365号,欣赏美轮美奂，精彩震撼的演出，感受文化,0,0,江西省
23652,中华苏维埃军事博览园,江西·赣州·瑞金市,0,\N,江西省赣州瑞金市七彩大道,体验革命军人的情怀,0,0,江西省
23653,安源纪念馆,江西·萍乡·安源区,0,4A景区,萍乡市安源区,保存大量的革命活动旧址和珍贵的革命文物,0,0,江西省
23654,南昌华南城冰雪世界,江西·南昌·红谷滩新区,0,\N,江西省南昌市红谷滩新区华南大道1号 南昌华南城(南昌西客站旁),刺激与童趣并存的乐园,0,0,江西省
23655,贾家古村,江西·宜春·高安市,0,4A景区,江西省宜春高安市新街镇贾家古村,古巷道纵横交错，路面皆用青砖麻石铺设,0,0,江西省
23656,梦山胜迹,江西·南昌·南昌县,0.7,\N,南昌市新建县石埠乡境内,青山绿水，风景多彩，盛夏气候凉爽,0,0,江西省
23657,上堡大峡谷漂流,江西·赣州·崇义县,0,\N,江西省赣州市崇义县上堡乡,罕称赣南三大险滩之一刺激漂流,0,0,江西省
23658,大树陶艺,江西·景德镇·珠山区,0,\N,江西景德镇珠山区陶阳北路昌江广场佳洋陶瓷后老厂（景德镇国际陶瓷文化交流中心 ）,感受泥土的味道归质朴的生活,0,0,江西省
23659,上饶铜钹山雷公峡漂流,江西·上饶·广丰县,0,\N,江西省上饶市广丰区铜钹山镇条铺(江西-上饶),奇花异木、珍禽灵兽，沿途六里竹廊扶风相掩,0,0,江西省
23661,梅岭欢乐葵园,江西·南昌·湾里区,0,\N,江西省南昌市湾里区太平镇心街西南侧,闻到香，看到炫，耍到酷，吃到爽，玩到嗨,0,0,江西省
23662,孽龙洞水上乐园,江西·萍乡,0,\N,江西省萍乡市杨岐山孽龙洞水上乐园,迎接一个充满激情欢乐的盛夏！,0,0,江西省
23663,燕坊古村,江西·吉安·吉水县,0,3A景区,江西省吉安市吉水县金滩镇燕坊古村,一个明清建筑群保存完好的历史文化名村,0,0,江西省
23664,白水仙,江西·吉安·遂川县,0.7,\N,江西省吉安市遂川县城24公里的碧洲镇境内,井冈山南面的遂川县，境内自然风光优美，人文景观丰富。白水仙、泉江、汤湖三个景区相互辉映，联成一片，面积达65平方公里。白,0,0,江西省
23665,印象客家欢乐水世界,江西·赣州·上犹县,0,\N,江西省赣州市上犹县东山镇水口路（三中旁）,交通便利，环境优美,0,0,江西省
23666,井冈山龙潭索道,江西·吉安·五龙潭瀑布,0,\N,江西省吉安市井冈山风景名胜区龙潭景区,龙潭戏水，仙女为伴,0,0,江西省
23667,同威水上乐园,江西·赣州·宁都县,0,\N,江西省赣州市宁都县永宁路撑坝村,同威水上乐园位于江西省赣州市宁都县，由江西同威实业有限公司投资3亿建设。园区占地面积约5万平方米，是赣南规模的大型主题水,0,0,江西省
23668,阳光海岸,江西·上饶·三清山已下线子景点,0.7,\N,江西省上饶市玉山县三清山景区内,脚踏浮云，身披雾纱，犹如遨游于仙境之间,0,0,江西省
23669,铜鼓尖尾峡漂流,江西·宜春·铜鼓县,0,\N,江西省铜鼓县排埠镇永丰村,在原始森林中放松身心，开启一段醉氧之旅,0,0,江西省
23670,起义纪念塔,江西·南昌·南昌县,0.74,\N,江西省南昌市南昌县中心人民广场南端,南昌市的标志，令人涌起绵绵仰慕之情,0,0,江西省
23746,蓬莱阁冰宫,山东·烟台·蓬莱阁,0,\N,蓬莱市北关路蓬莱阁索道站售票处西200米（田横南路走到北头海边处）,一年四季都可欣赏到北国极地的冰雪艺术,70,8,山东省
23747,中央电视台威海影视城,山东·威海·威海市,0.7,\N,山东省威海市世昌大道500号,富含文化内涵和童话色彩的影视外景摄影基地,42.4,24,山东省
23748,孟府,山东·济宁·邹城市,0.7,4A景区,山东省济宁邹城市亚圣府街44号,走进孟府四月天,32,40,山东省
23749,无染寺,山东·烟台·昆嵛山国家森林公园,0,\N,山东省烟台市牟平区东南20公里昆嵛山国家森林公园内（烟台市威海市交界处）,"人称""江北小九寨""",25.9,298,山东省
23750,日出东方海之秀,山东·日照·东港区,0,\N,山东省日照市东港区青岛路太阳广场内,精彩纷呈、酣畅淋漓的视听盛宴,256,72,山东省
23751,玉黛湖庄园,山东·淄博·张店区,0.7,3A景区,山东省淄博市张店区湖田镇309国道旁,淄博市大型生态休闲娱乐场所,35,18,山东省
23752,东炮台海滨,山东·烟台·芝罘区,0.74,\N,山东省烟台市芝罘区滨海北路东炮台1号,重现当年历史，抒散着大海的豪情,95,42,山东省
23753,泰山宝泰隆旅游度假区,山东·泰安·泰山区,0,4A景区,邱家店镇崇文路泰安第十三中学对面,泰山宝泰隆，别样旅游体验与激情,216,110,山东省
23754,广饶孙子文化园,山东·东营·广饶孙子文化旅游度假区,0,\N,山东省东营市广饶县孙子文化旅游度假区内,采用动静结合的手法实现文化与项目有效结合,110,144,山东省
23755,丛麻禅院,山东·烟台·海阳市,0,\N,山东省海阳市盘石镇丛麻院,万杆翠竹，奇石林立、橡树满园、鸟语花香,32.9,6,山东省
23756,沁园春风景区,山东·日照·东港区,0,\N,山东省日照市东港区河山镇费家官庄西500米（日照市区临沂路最北头向西直行2.5公里）,有刺激的雪地摩托车，老少皆宜的雪上飞碟道,58,34,山东省
23757,泰山花海,山东·泰安·岱岳区,0,\N,山东省泰安市岱岳区满庄镇天颐湖旅游度假区,船游花海间，诗意豪情万丈,25,30,山东省
23758,聊城海底世界,山东·聊城·东昌府区,0,\N,山东省聊城市东昌府区湖南路和辽阳路路口摩天轮负一层,游览观赏、互动体验、科普教育,142,142,山东省
23759,青岛贝林自然博物馆,山东·青岛·市北区,0,\N,山东省青岛市市北区辽宁路280号,人与自然互动体验型的自然博物馆,64,34,山东省
23760,仰口湾,山东·青岛·仰口游览区,0,\N,山东省青岛市崂山区崂山景区旅游专用路,千金易得，一石难求,100,64,山东省
23791,青岛比如世界,山东·青岛·市北区,0,\N,山东省青岛市北区辽阳西路100号新业广场2楼,创想无限童年，体验不一样的快乐,138,32,山东省
23792,烟台南山公园动物园,山东·烟台·芝罘区,0,\N,山东省烟台市芝罘区环山路南山沟1号,现在有憨态可掬，呆萌呆萌的草泥马,20,114,山东省
23793,日照世帆赛基地,山东·日照·东港区,0,\N,山东省日照市东港区绿洲南路世帆赛基地,国家体育总局命名为国家水上运动训练基地,39,14,山东省
23794,潍坊欢乐海底世界,山东·潍坊·坊子区,0,\N,山东省潍坊市坊子区潍州路与潍胶路交叉口泰华?澳莱小镇内,来潍坊欢乐海底世界，体验海洋文化,88,30,山东省
23795,水城之眼摩天轮,山东·聊城,0,\N,山东省聊城市湖南路中段，南关街交叉口,全球首座建筑与摩天轮相结合的城市地标,55,38,山东省
23796,泰山老爷车博览馆,山东·泰安·岱岳区,0,\N,山东省泰安市岱岳区满庄镇滨湖路 （26路公交车终点站）,汽车与回忆紧密相连,43,22,山东省
23797,摩天岭,山东·威海·西霞口,0,\N,山东省威海荣成市成山镇西霞口村,海市蜃楼摇曳隐现，神秘至神而神灵,20,92,山东省
23798,烟台海昌雨岱山温泉,山东·烟台·莱山区,0,\N,山东省烟台市莱山区滨海中路45号,赏白雪皑皑、观山海一色,97.9,28,山东省
23799,盛能游乐园,山东·临沂·罗庄区,0.72,3A景区,山东省临沂市罗庄区,多层次、高规模的综合性大型游乐园,16,26,山东省
23800,聊城天沐温泉(江北水城温泉),山东·聊城·聊城市,0.92,\N,山东省聊城市冠县马颊河林场,特色四大美人汤，美容养颜,82,84,山东省
23801,五龙潭,山东·济南·天下第一泉风景区,0.76,\N,山东省济南市历下区趵突泉北路筐市街18号五龙潭公园内,碧波荡漾，澄澈如镜，水木明瑟，锦鱼戏游,28,64,山东省
23802,仿山,山东·菏泽·定陶县,0,3A景区,山东省菏泽市定陶县城北6公里,周代曹国国君墓地，其文化底蕴深厚,19.8,10,山东省
23803,即墨金麒玉麟温泉,山东·青岛·青岛温泉度假村,0,\N,山东省青岛即墨市温泉镇大田路2777号,拥有日式、韩式、中式标及特色地炕房,98,6,山东省
23804,青岛乘风破浪帆船俱乐部,山东·青岛·市南区,0,\N,山东省青岛市市南区新会路12号中航翔通游艇会酒店,提供帆船体验和企业帆船领导力拓展活动,170,18,山东省
23805,莘县中原现代农业嘉年华,山东·聊城·莘县,0,\N,山东省聊城市莘县鸿图街东首会展中心,诠释莘县农业的品牌特色,45,18,山东省
23896,大明湖海底世界,山东·济南·大明湖,0,\N,山东济南历下区大明湖风景区内,徜徉“零距离”的海底世界,75,58,山东省
23897,马泉休闲园,山东·临沂·沂南县,0,\N,山东省临沂市沂南县铜井镇,人与自然互相映衬、完美融和,29,28,山东省
23898,青铜山大峡谷,山东·济南·历城区,0,\N,山东省济南市历城区锦绣川老庄村北青铜山南麓,探险娱乐和休闲会议为一体的风景名胜区,65,316,山东省
23899,长岛海上游船,山东·烟台·长岛,0,\N,山东省烟台市长岛县海滨路305号,万鸟飞翔，鸥影蔽日，铺满了天空,180,8,山东省
23900,幸福门,山东·威海·环翠区,0,\N,威海市环翠区世昌大道1号,威海的标志，代表着威海现代化的城市形象,56,16,山东省
23901,园博园欢乐世界,山东·济南·长清区,0,\N,山东济南长清区大学城海棠路6号国际园博园和谐广场,"大黄鸭""游""到济南园博园，停留30余天",98,16,山东省
23902,宝山前野生动物园,山东·临沂,0,\N,山东省临沂市兰陵县234省道宝山前风景区,\N,58,340,山东省
23903,道路交通博物馆,山东·青岛·市北区,0,\N,山东省青岛市北区馆陶路49号,历史与休闲相结合的大型综合性的博物馆,13,12,山东省
23904,青岛电影博物馆,山东·青岛·黄岛区,0,\N,山东省青岛市黄岛区滨海大道2777号万达茂步行街北侧,从电影的起源追溯到未来的发展...,113,20,山东省
23905,泰安梦想小镇,山东·泰安·岱岳区,0,\N,山东省泰安市岱岳区满庄镇胜利路与滨湖路交汇处东侧天颐湖北岸,旅游度假好去处,43,26,山东省
23906,张裕国际葡萄酒城旅游区,山东·烟台·福山区,0,4A景区,山东省烟台市福山区古镇办事处,亚洲首座葡萄酒主题乐园,38,20,山东省
23907,泰安天乐城水世界,山东·泰安·天乐城,0,\N,山东省泰安市近郊岱岳区满庄镇大汶口石膏工业园天乐城,室内水上乐园，与水邂逅,45,4,山东省
23908,巨峰游览区,山东·青岛·崂山,0.7,\N,山东省青岛市崂山区崂山风景区内,拾阶而上，奇峰竞秀，远眺俯瞰，尽入眼底,115,44,山东省
23909,戚继光故里,山东·烟台·蓬莱市,0.7,\N,山东省烟台蓬莱市迎宾路7号蓬莱阁内,建筑庄重肃穆，文化底蕴厚重,40,68,山东省
